sneaker_name,brand,sneaker_image,retail_price,url
Jordan 1 Retro High OG University Blue,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-White-University-Blue-Black/Images/Air-Jordan-1-Retro-High-White-University-Blue-Black/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1635340557&h=384&fm=avif&q=60,$170.00,https://stockx.com/air-jordan-1-retro-high-white-university-blue-black
Jordan 1 Retro High OG Heritage,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-OG-Heritage/Images/Air-Jordan-1-Retro-High-OG-Heritage/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1649156777&h=384&fm=avif&q=60,$170.00,https://stockx.com/air-jordan-1-retro-high-og-heritage
Jordan 1 Retro High Dark Mocha,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Dark-Mocha/Images/Air-Jordan-1-Retro-High-Dark-Mocha/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1635345732&h=384&fm=avif&q=60,$170.00,https://stockx.com/air-jordan-1-retro-high-dark-mocha
Jordan 1 Retro High OG Satin Bred (Womens),Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-OG-Satin-Bred/Images/Air-Jordan-1-Retro-High-OG-Satin-Bred/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1696969279&h=384&fm=avif&q=60,$180.00,https://stockx.com/air-jordan-1-retro-high-og-satin-bred
Jordan 1 Retro High OG Royal Reimagined,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-OG-Royal-Reimagined/Images/Air-Jordan-1-Retro-High-OG-Royal-Reimagined/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1697743198&h=384&fm=webp&q=60,$180.00,https://stockx.com/air-jordan-1-retro-high-og-royal-reimagined
Jordan 1 Retro High OG Black Metallic Gold,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-OG-Black-Metallic-Gold/Images/Air-Jordan-1-Retro-High-OG-Black-Metallic-Gold/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1722460854&h=384&fm=avif&q=60,$180.00,https://stockx.com/air-jordan-1-retro-high-og-black-metallic-gold
Jordan 1 Retro Low OG Black Toe (2023),Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-Low-OG-Black-Toe/Images/Air-Jordan-1-Retro-Low-OG-Black-Toe/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1689279627&h=384&fm=webp&q=60,$140.00,https://stockx.com/air-jordan-1-retro-low-og-black-toe
Jordan 1 Retro Low 85 Neutral Grey,Jordan,https://images.stockx.com/360/Air-Jordan-1-Low-85-Neutral-Grey/Images/Air-Jordan-1-Low-85-Neutral-Grey/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1698254256&h=384&fm=avif&q=60,$160.00,https://stockx.com/air-jordan-1-low-85-neutral-grey
Jordan 1 Retro Low OG Barons,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-Low-OG-Barons/Images/Air-Jordan-1-Retro-Low-OG-Barons/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1721139418&h=384&fm=avif&q=60,$140.00,https://stockx.com/air-jordan-1-retro-low-og-barons
Jordan 1 Retro High OG Dark Marina Blue,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-OG-Dark-Marina-Blue/Images/Air-Jordan-1-Retro-High-OG-Dark-Marina-Blue/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1641935382&h=384&fm=avif&q=60,$170.00,https://stockx.com/air-jordan-1-retro-high-og-dark-marina-blue
Jordan 1 Retro High OG Spider-Man Across the Spider-Verse,Jordan,https://images.stockx.com/360/Air-Jordan-1-High-OG-Spider-Man-Across-the-Spider-Verse/Images/Air-Jordan-1-High-OG-Spider-Man-Across-the-Spider-Verse/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1683569460&h=384&fm=avif&q=60,$200.00,https://stockx.com/air-jordan-1-high-og-spider-man-across-the-spider-verse
Jordan 1 Retro High OG Taxi,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-OG-Yellow-Toe/Images/Air-Jordan-1-Retro-High-OG-Yellow-Toe/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1659075277&h=384&fm=avif&q=60,$170.00,https://stockx.com/air-jordan-1-retro-high-og-yellow-toe
Jordan 1 Retro High OG Black White,Jordan,https://images.stockx.com/360/Air-Jordan-1-High-OG-Black-White/Images/Air-Jordan-1-High-OG-Black-White/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1707164616&h=384&fm=avif&q=60,$180.00,https://stockx.com/air-jordan-1-high-og-black-white
Jordan 1 Retro High OG Chicago Lost and Found,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-OG-Chicago-Reimagined/Images/Air-Jordan-1-Retro-High-OG-Chicago-Reimagined/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1665692308&h=384&fm=avif&q=60,$180.00,https://stockx.com/air-jordan-1-retro-high-og-chicago-reimagined-lost-and-found
Jordan 1 Retro Low OG SP Travis Scott Medium Olive,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-Low-OG-SP-Medium-Olive/Images/Air-Jordan-1-Retro-Low-OG-SP-Medium-Olive/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1725369833&h=384&fm=avif&q=60,$150.00,https://stockx.com/air-jordan-1-retro-low-og-sp-travis-scott-medium-olive
Jordan XXXIII Travis Scott,Jordan,https://images.stockx.com/360/Air-Jordan-XXXIII-Travis-Scott/Images/Air-Jordan-XXXIII-Travis-Scott/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1635257895&h=384&fm=avif&q=60,$185.00,https://stockx.com/air-jordan-xxxiii-travis-scott
Nike Air Force 1 Low Travis Scott Sail,Nike,https://images.stockx.com/360/Nike-Air-Force-1-Low-Travis-Scott-Sail/Images/Nike-Air-Force-1-Low-Travis-Scott-Sail/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1635252948&h=384&fm=webp&q=60,$150.00,https://stockx.com/nike-air-force-1-low-travis-scott-sail
Nike Air Force 1 Low 07 White (Travis Scott Cactus Jack Utopia Edition) (Womens),Nike,https://images.stockx.com/360/Nike-Air-Force-1-Low-07-White-Travis-Scott-Cactus-Jack-Utopia-Edition-Womens/Images/Nike-Air-Force-1-Low-07-White-Travis-Scott-Cactus-Jack-Utopia-Edition-Womens/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1701800767&h=384&fm=webp&q=60,$150.00,https://stockx.com/nike-air-force-1-low-07-white-travis-scott-cactus-jack-utopia-edition-womens
Jordan 1 Retro High OG SP Fragment x Travis Scott,Jordan,https://images.stockx.com/360/Air-Jordan-1-High-OG-SP-fragment-design-x-Travis-Scott/Images/Air-Jordan-1-High-OG-SP-fragment-design-x-Travis-Scott/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1635344578&h=384&fm=avif&q=60,$200.00,https://stockx.com/air-jordan-1-high-og-sp-fragment-design-x-travis-scott
Jordan 4 Retro Travis Scott Cactus Jack,Jordan,https://images.stockx.com/360/Air-Jordan-4-Retro-Travis-Scott-Cactus-Jack/Images/Air-Jordan-4-Retro-Travis-Scott-Cactus-Jack/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1682693794&h=384&fm=webp&q=60,$225.00,https://stockx.com/air-jordan-4-retro-travis-scott-cactus-jack
Nike Air Max 270 React ENG Travis Scott Cactus Trails,Nike,https://images.stockx.com/360/Nike-Air-Max-270-React-Travis-Scott/Images/Nike-Air-Max-270-React-Travis-Scott/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1635280812&h=384&fm=webp&q=60,$170.00,https://stockx.com/nike-air-max-270-react-travis-scott
Nike SB Dunk Low Travis Scott,Nike,https://images.stockx.com/360/Nike-SB-Dunk-Low-Travis-Scott/Images/Nike-SB-Dunk-Low-Travis-Scott/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1635258995&h=384&fm=avif&q=60,$150.00,https://stockx.com/nike-sb-dunk-low-travis-scott
Jordan 1 Retro Low OG SP Travis Scott Mocha,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-Low-Travis-Scott/Images/Air-Jordan-1-Retro-Low-Travis-Scott/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1634915513&h=384&fm=avif&q=60,$130.00,https://stockx.com/air-jordan-1-retro-low-travis-scott
Nike Air Force 1 Low Travis Scott Cactus Jack,Nike,https://images.stockx.com/360/Nike-Air-Force-1-Low-Travis-Scott-Cactus-Jack/Images/Nike-Air-Force-1-Low-Travis-Scott-Cactus-Jack/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1635276243&h=384&fm=avif&q=60,$160.00,https://stockx.com/nike-air-force-1-low-travis-scott-cactus-jack
